source,target,alpha_IS,alpha_OOS,abs_diff,rel_change
CRM,LCID,0.003156901877509039,0.0025604404825549463,0.0005964613949540928,-0.1889382466465078
SBUX,AMGN,0.0031079556691391472,0.003031886738034809,7.606893110433804e-05,-0.024475473413259365
PEP,LCID,0.003084029414746231,0.0025138043624631508,0.0005702250522830804,-0.18489551383700492
CSCO,ISRG,0.003063815166945508,0.002266680325545825,0.0007971348413996827,-0.2601763475278158
SBUX,LCID,0.0030539971291378377,0.0023773619673982766,0.0006766351617395611,-0.22155651022680448
AAPL,AMGN,0.0030499234541105365,0.002667761019314452,0.00038216243479608425,-0.12530189282688325
MSFT,ISRG,0.003037524657558148,0.0021949989363831963,0.0008425257211749516,-0.27737155824001425
WMT,ISRG,0.0030347482372443785,0.002212032448818393,0.0008227157884259854,-0.2710976374754082
NVDA,AMGN,0.0030181317026493036,0.002618770617702231,0.0003993610849470728,-0.13232019046571486
CSCO,LCID,0.0030064229825469716,0.002231833514585545,0.0007745894679614266,-0.25764401616736343
NVDA,ISRG,0.0029943886745169095,0.0021315610744128918,0.0008628276001040177,-0.28814720212338424
GILD,RXRX,0.002968446608251334,0.003160397552990924,0.00019195094473959014,0.0646635508183039
INTC,ISRG,0.002964322069034705,0.002179575944137352,0.0007847461248973531,-0.2647294927227553
AAPL,ISRG,0.002963476587869261,0.002167718161888637,0.0007957584259806242,-0.2685210148201725
MSFT,AMGN,0.002959183496336278,0.0027050977913291407,0.0002540857050071371,-0.08586316012174124
TSLA,AMGN,0.0029549535040117297,0.0025792965385454825,0.00037565696546624713,-0.12712744673707346
INTC,LCID,0.002944593107291307,0.003327019209549691,0.000382426102258384,0.12987356472980552
WMT,LCID,0.0029359427596495377,0.0022117358460786623,0.0007242069135708754,-0.246668449003697
TSLA,ISRG,0.002932364508775323,0.0021105811319559404,0.0008217833768193825,-0.28024502817090446
CSCO,AMGN,0.0029295653399263244,0.0029612319412496116,3.166660132328724e-05,0.010809280407201825
AMZN,AMGN,0.0029158539285936065,0.002675091109300206,0.00024076281929340032,-0.08256997760849774
AMZN,ISRG,0.00291449999468294,0.0021798461539285535,0.0007346538407543863,-0.2520677033513851
MSFT,LCID,0.002906879165806962,0.0026816824656057,0.00022519670020126198,-0.07746999880497564
TSLA,LCID,0.002890599612274999,0.0021806828324808414,0.0007099167797941577,-0.24559413930524893
CRM,RXRX,0.002886356339872876,0.0027420925103903188,0.00014426382948255724,-0.0499811224547855
INTC,AMGN,0.0028784378214489334,0.0027603629916494177,0.00011807482979951569,-0.04102031272537711
AMZN,LCID,0.0028771658851421914,0.0022297969266841995,0.000647368958457992,-0.22500152382098765
AAPL,LCID,0.002861214147616859,0.002160003649887363,0.0007012104977294959,-0.24507359841539886
WMT,AMGN,0.0028611245252420496,0.0027211384823008014,0.00013998604294124814,-0.048926760243615405
PEP,RXRX,0.0028459072815340174,0.0025642871691336534,0.000281620112400364,-0.0989558320010496
NVDA,LCID,0.002822337701770135,0.002332170953772975,0.0004901667479971601,-0.17367340944198148
CSCO,RXRX,0.002765710809769148,0.0023278884434742853,0.00043782236629486253,-0.15830316811023568
SBUX,RXRX,0.0027311972801290748,0.00245432493020397,0.0002768723499251046,-0.10137361303167726
WMT,RXRX,0.0026853570670582728,0.002549592802141777,0.00013576426491649588,-0.050557060366879736
